Municipio ,Población ,Tasa de matriculación,X,Y,info
Bogotá D.C,1.452.849,"79,90",250,265
Amazonas ,22.269,"83,60",320,380
Antioquia ,1.270.105,"86,10",175,200
Arauca ,75.197,75,380,230
Atlántico ,518.257,"91,10",190,140
Bolívar ,486.067,"90,70",240,160
Boyacá,275.027,"83,50",230,215
Caldas ,191.444,"75,80",200,235
Caquetá,124.222,"74,40",240,350
Casanare ,88.626,"97,80",300,290
Cauca,303.777,"83,30",135,310
Cesar ,259.051,"99,10",260,135
Córdoba ,413.883,"88,80",160,180
Cundinamarca ,579.364,"91,80",250,245
Chocó,145.765,"79,20",150,230
Guainía,11.965,80,390,290
Guaviare ,31.876,55,300,330
Huila,268.744,"85,90",200,315
La Guajira ,271.221,"75,50",250,75
Magdalena ,327.940,"93,60",220,100
Meta ,221.844,"90,90",300,310
Nariño ,393.195,"70,20",120,325
Norte de Santander,304.148,"90,40",280,180
Putumayo ,91.161,"75,20",160,340
Quindio ,108.156,"77,80",165,265
Risaralda ,181.154,"86,80",180,250
Santander ,398.621,"96,50",280,205
Sucre ,197.947,"97,30",180,160
Tolima ,303.140,84,230,295
Valle del Cauca ,873.860,"80,40",120,285
Vaupés ,12.668,"66,50",350,350
Vichada ,22.282,"77,90",400,260